Sentences,Sentiment,Positive,Negative,Neutral,Compound
"""If you start out by promising what you
don't even have yet, you'll lose your desire to work toward getting it.""
The boy told him that he had already promised to give one-tenth of his
treasure to the Gypsy .
""Gypsies are experts at getting people to do that,"" sighed the old man","{'neg': 0.045, 'neu': 0.786, 'pos': 0.169, 'compound': 0.7506}",0.169,0.045,0.786,0.7506
"""In","{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,0.0,1.0,0.0
"any case, it's good that you've learned that everything in life has its price.
This is what the W arriors of the Light try to teach.""
The old man returned the book to the boy .
""Tomorrow , at this same time, bring me a tenth of your flock","{'neg': 0.0, 'neu': 0.938, 'pos': 0.062, 'compound': 0.4404}",0.062,0.0,0.938,0.4404
"And I will tell
you how to find the hidden treasure","{'neg': 0.0, 'neu': 0.804, 'pos': 0.196, 'compound': 0.296}",0.196,0.0,0.804,0.296
"Good afternoon.""
And he vanished around the corner of the plaza.
*
The boy began again to read his book, but he was no longer able to
concentrate","{'neg': 0.094, 'neu': 0.84, 'pos': 0.066, 'compound': -0.2144}",0.066,0.094,0.84,-0.2144
"He was tense and upset, because he knew that the old man was
right","{'neg': 0.294, 'neu': 0.706, 'pos': 0.0, 'compound': -0.6124}",0.0,0.294,0.706,-0.6124
"He went over to the bakery and bought a loaf of bread, thinking about
whether or not he should tell the baker what the old man had said about
him","{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,0.0,1.0,0.0
"Sometimes it's better to leave things as they are, he thought to himself,
and decided to say nothing","{'neg': 0.06, 'neu': 0.796, 'pos': 0.144, 'compound': 0.4019}",0.144,0.06,0.796,0.4019
"If he were to say anything, the baker would
spend three days thinking about giving it all up, even though he had gotten
used to the way things were","{'neg': 0.0, 'neu': 0.921, 'pos': 0.079, 'compound': 0.34}",0.079,0.0,0.921,0.34
"The boy could certainly resist causing that
kind of anxiety for the baker ","{'neg': 0.129, 'neu': 0.715, 'pos': 0.156, 'compound': 0.1045}",0.156,0.129,0.715,0.1045
"So he began to wander through the city , and
found himself at the gates","{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,0.0,1.0,0.0
"There was a small building there, with a window
at which people bought tickets to Africa","{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,0.0,1.0,0.0
"And he knew that Egypt was in
Africa.
""Can I help you?"" asked the man behind the window .
""Maybe tomorrow ,"" said the boy , moving away ","{'neg': 0.0, 'neu': 0.899, 'pos': 0.101, 'compound': 0.4019}",0.101,0.0,0.899,0.4019
"If he sold just one of his
sheep, he'd have enough to get to the other shore of the strait","{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,0.0,1.0,0.0
"The idea
frightened him.
""Another dreamer ,"" said the ticket seller to his assistant, watching the boy
walk away ","{'neg': 0.139, 'neu': 0.861, 'pos': 0.0, 'compound': -0.4404}",0.0,0.139,0.861,-0.4404
"""He doesn't have enough money to travel.""
While standing at the ticket window , the boy had remembered his flock, and
decided he should go back to being a shepherd","{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,0.0,1.0,0.0
"In two years he had learned
everything about shepherding: he knew how to shear sheep, how to care for","{'neg': 0.0, 'neu': 0.849, 'pos': 0.151, 'compound': 0.4939}",0.151,0.0,0.849,0.4939
"pregnant ewes, and how to protect the sheep from wolves","{'neg': 0.0, 'neu': 0.776, 'pos': 0.224, 'compound': 0.3818}",0.224,0.0,0.776,0.3818
"He knew all the
fields and pastures of Andalusia","{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,0.0,1.0,0.0
"And he knew what was the fair price for
every one of his animals.
He decided to return to his friend's stable by the longest route possible","{'neg': 0.0, 'neu': 0.847, 'pos': 0.153, 'compound': 0.5423}",0.153,0.0,0.847,0.5423
"As
he walked past the city's castle, he interrupted his return, and climbed the
stone ramp that led to the top of the wall","{'neg': 0.085, 'neu': 0.846, 'pos': 0.069, 'compound': -0.1027}",0.069,0.085,0.846,-0.1027
"From there, he could see Africa in
the distance","{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,0.0,1.0,0.0
"Someone had once told him that it was from there that the
Moors had come, to occupy all of Spain.
He could see almost the entire city from where he sat, including the plaza
where he had talked with the old man","{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,0.0,1.0,0.0
"Curse the moment I met that old
man, he thought","{'neg': 0.304, 'neu': 0.696, 'pos': 0.0, 'compound': -0.5423}",0.0,0.304,0.696,-0.5423
"He had come to the town only to find a woman who could
interpret his dream","{'neg': 0.0, 'neu': 0.875, 'pos': 0.125, 'compound': 0.25}",0.125,0.0,0.875,0.25
"Neither the woman nor the old man were at all
impressed by the fact that he was a shepherd","{'neg': 0.0, 'neu': 0.846, 'pos': 0.154, 'compound': 0.4767}",0.154,0.0,0.846,0.4767
"They were solitary individuals
who no longer believed in things, and didn't understand that shepherds
become attached to their sheep","{'neg': 0.104, 'neu': 0.896, 'pos': 0.0, 'compound': -0.296}",0.0,0.104,0.896,-0.296
"He knew everything about each member of
his flock: he knew which ones were lame, which one was to give birth two
months from now , and which were the laziest","{'neg': 0.188, 'neu': 0.812, 'pos': 0.0, 'compound': -0.7579}",0.0,0.188,0.812,-0.7579
"He knew how to shear them,
and how to slaughter them","{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,0.0,1.0,0.0
"If he ever decided to leave them, they would
suffer.
The wind began to pick up","{'neg': 0.251, 'neu': 0.749, 'pos': 0.0, 'compound': -0.5719}",0.0,0.251,0.749,-0.5719
"He knew that wind: people called it the
levanter , because on it the Moors had come from the Levant at the eastern
end of the Mediterranean.
The levanter increased in intensity ","{'neg': 0.0, 'neu': 0.935, 'pos': 0.065, 'compound': 0.2732}",0.065,0.0,0.935,0.2732
"Here I am, between my flock and my
treasure, the boy thought","{'neg': 0.0, 'neu': 0.82, 'pos': 0.18, 'compound': 0.296}",0.18,0.0,0.82,0.296
"He had to choose between something he had
become accustomed to and something he wanted to have","{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,0.0,1.0,0.0
"There was also
the merchant's daughter , but she wasn't as important as his flock, because
she didn't depend on him","{'neg': 0.09, 'neu': 0.91, 'pos': 0.0, 'compound': -0.2235}",0.0,0.09,0.91,-0.2235
Maybe she didn't even remember him,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,0.0,1.0,0.0
"He was
sure that it made no dif ference to her on which day he appeared: for her ,
every day was the same, and when each day is the same as the next, it's
because people fail to recognize the good things that happen in their lives
every day that the sun rises.
I left my father , my mother , and the town castle behind","{'neg': 0.082, 'neu': 0.844, 'pos': 0.074, 'compound': -0.128}",0.074,0.082,0.844,-0.128
"They have gotten
used to my being away , and so have I","{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,0.0,1.0,0.0
The sheep will get used to my not,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,0.0,1.0,0.0
"being there, too, the boy thought.
From where he sat, he could observe the plaza","{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,0.0,1.0,0.0
"People continued to come
and go from the baker's shop","{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,0.0,1.0,0.0
"A young couple sat on the bench where he
had talked with the old man, and they kissed.
""That baker --"" he said to himself, without completing the thought","{'neg': 0.0, 'neu': 0.912, 'pos': 0.088, 'compound': 0.3818}",0.088,0.0,0.912,0.3818
"The
levanter was still getting stronger , and he felt its force on his face","{'neg': 0.0, 'neu': 0.833, 'pos': 0.167, 'compound': 0.3818}",0.167,0.0,0.833,0.3818
"That
wind had brought the Moors, yes, but it had also brought the smell of the
desert and of veiled women","{'neg': 0.0, 'neu': 0.915, 'pos': 0.085, 'compound': 0.2144}",0.085,0.0,0.915,0.2144
"It had brought with it the sweat and the dreams
of men who had once left to search for the unknown, and for gold and
adventure—and for the Pyramids","{'neg': 0.0, 'neu': 0.912, 'pos': 0.088, 'compound': 0.4019}",0.088,0.0,0.912,0.4019
"The boy felt jealous of the freedom of the
wind, and saw that he could have the same freedom","{'neg': 0.109, 'neu': 0.584, 'pos': 0.307, 'compound': 0.7506}",0.307,0.109,0.584,0.7506
"There was nothing to
hold him back except himself","{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,0.0,1.0,0.0
"The sheep, the merchant's daughter , and the
fields of Andalusia were only steps along the way to his destiny .
The next day , the boy met the old man at noon","{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,0.0,1.0,0.0
"He brought six sheep with
him.
""I'm surprised,"" the boy said","{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,0.0,1.0,0.0
"""My friend bought all the other sheep
immediately ","{'neg': 0.0, 'neu': 0.686, 'pos': 0.314, 'compound': 0.4939}",0.314,0.0,0.686,0.4939
"He said that he had always dreamed of being a shepherd, and
that it was a good omen.""
""That's the way it always is,"" said the old man","{'neg': 0.0, 'neu': 0.896, 'pos': 0.104, 'compound': 0.4404}",0.104,0.0,0.896,0.4404
"""It's called the principle of
favorability ","{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,0.0,1.0,0.0
"When you play cards the first time, you are almost sure to win.
Beginner's luck.""
""Why is that?""
""Because there is a force that wants you to realize your destiny; it whets
your appetite with a taste of success.""
Then the old man began to inspect the sheep, and he saw that one was lame.
The boy explained that it wasn't important, since that sheep was the most
intelligent of the flock, and produced the most wool.
""Where is the treasure?"" he asked.","{'neg': 0.048, 'neu': 0.824, 'pos': 0.127, 'compound': 0.8022}",0.127,0.048,0.824,0.8022
"""It's in Egypt, near the Pyramids.""
The boy was startled","{'neg': 0.159, 'neu': 0.841, 'pos': 0.0, 'compound': -0.1779}",0.0,0.159,0.841,-0.1779
The old woman had said the same thing,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,0.0,1.0,0.0
"But she
hadn't char ged him anything.
""In order to find the treasure, you will have to follow the omens","{'neg': 0.0, 'neu': 0.872, 'pos': 0.128, 'compound': 0.4215}",0.128,0.0,0.872,0.4215
"God has
prepared a path for everyone to follow ","{'neg': 0.0, 'neu': 0.6, 'pos': 0.4, 'compound': 0.4588}",0.4,0.0,0.6,0.4588
"You just have to read the omens that
he left for you.""
Before the boy could reply , a butterfly appeared and fluttered between him
and the old man","{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,0.0,1.0,0.0
"He remembered something his grandfather had once told
him: that butterflies were a good omen","{'neg': 0.0, 'neu': 0.818, 'pos': 0.182, 'compound': 0.4404}",0.182,0.0,0.818,0.4404
"Like crickets, and like expectations;
like lizards and four -leaf clovers.
""That's right,"" said the old man, able to read the boy's thoughts","{'neg': 0.0, 'neu': 0.727, 'pos': 0.273, 'compound': 0.7579}",0.273,0.0,0.727,0.7579
"""Just as
your grandfather taught you","{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,0.0,1.0,0.0
"These are good omens.""
The old man opened his cape, and the boy was struck by what he saw ","{'neg': 0.091, 'neu': 0.776, 'pos': 0.132, 'compound': 0.2263}",0.132,0.091,0.776,0.2263
"The
old man wore a breastplate of heavy gold, covered with precious stones.
The boy recalled the brilliance he had noticed on the previous day .
He really was a king! He must be disguised to avoid encounters with
thieves.
""Take these,"" said the old man, holding out a white stone and a black stone
that had been embedded at the center of the breastplate","{'neg': 0.112, 'neu': 0.78, 'pos': 0.108, 'compound': 0.3164}",0.108,0.112,0.78,0.3164
"""They are called
Urim and Thummim","{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,0.0,1.0,0.0
"The black signifies 'yes,' and the white 'no.' When you
are unable to read the omens, they will help you to do so","{'neg': 0.0, 'neu': 0.891, 'pos': 0.109, 'compound': 0.4019}",0.109,0.0,0.891,0.4019
"Always ask an
objective question.
""But, if you can, try to make your own decisions","{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,0.0,1.0,0.0
"The treasure is at the
Pyramids; that you already knew ","{'neg': 0.0, 'neu': 0.804, 'pos': 0.196, 'compound': 0.296}",0.196,0.0,0.804,0.296
"But I had to insist on the payment of six
sheep because I helped you to make your decision.""
The boy put the stones in his pouch","{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,0.0,1.0,0.0
"From then on, he would make his own
decisions.","{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,0.0,1.0,0.0
"""Don't for get that everything you deal with is only one thing and nothing
else","{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,0.0,1.0,0.0
And don't for get the language of omens,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,0.0,1.0,0.0
"And, above all, don't for get to
follow your destiny through to its conclusion.
""But before I go, I want to tell you a little story .
""A certain shopkeeper sent his son to learn about the secret of happiness
from the wisest man in the world","{'neg': 0.0, 'neu': 0.754, 'pos': 0.246, 'compound': 0.9145}",0.246,0.0,0.754,0.9145
"The lad wandered through the desert for
forty days, and finally came upon a beautiful castle, high atop a mountain.
It was there that the wise man lived.
""Rather than finding a saintly man, though, our hero, on entering the main
room of the castle, saw a hive of activity: tradesmen came and went, people
were conversing in the corners, a small orchestra was playing soft music,
and there was a table covered with platters of the most delicious food in that
part of the world","{'neg': 0.0, 'neu': 0.821, 'pos': 0.179, 'compound': 0.9468}",0.179,0.0,0.821,0.9468
"The wise man conversed with everyone, and the boy had
to wait for two hours before it was his turn to be given the man's attention.
""The wise man listened attentively to the boy's explanation of why he had
come, but told him that he didn't have time just then to explain the secret of
happiness","{'neg': 0.0, 'neu': 0.855, 'pos': 0.145, 'compound': 0.8402}",0.145,0.0,0.855,0.8402
"He suggested that the boy look around the palace and return in
two hours.
"" 'Meanwhile, I want to ask you to do something,' said the wise man,
handing the boy a teaspoon that held two drops of oil","{'neg': 0.0, 'neu': 0.855, 'pos': 0.145, 'compound': 0.5574}",0.145,0.0,0.855,0.5574
"'As you wander
around, carry this spoon with you without allowing the oil to spill.' ""The
boy began climbing and descending the many stairways of the palace,
keeping his eyes fixed on the spoon","{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,0.0,1.0,0.0
"After two hours, he returned to the
room where the wise man was.
"" 'Well,' asked the wise man, 'did you see the Persian tapestries that are
hanging in my dining hall? Did you see the garden that it took the master
gardener ten years to create? Did you notice the beautiful parchments in my
library?'
""The boy was embarrassed, and confessed that he had observed nothing.
His only concern had been not to spill the oil that the wise man had
entrusted to him.","{'neg': 0.026, 'neu': 0.793, 'pos': 0.182, 'compound': 0.9342}",0.182,0.026,0.793,0.9342
""" 'Then go back and observe the marvels of my world,' said the wise man.
'You cannot trust a man if you don't know his house.'
""Relieved, the boy picked up the spoon and returned to his exploration of
the palace, this time observing all of the works of art on the ceilings and the
walls","{'neg': 0.045, 'neu': 0.824, 'pos': 0.132, 'compound': 0.6483}",0.132,0.045,0.824,0.6483
"He saw the gardens, the mountains all around him, the beauty of the
flowers, and the taste with which everything had been selected","{'neg': 0.0, 'neu': 0.853, 'pos': 0.147, 'compound': 0.5859}",0.147,0.0,0.853,0.5859
"Upon
returning to the wise man, he related in detail everything he had seen.
"" 'But where are the drops of oil I entrusted to you?' asked the wise man.
""Looking down at the spoon he held, the boy saw that the oil was gone.
"" 'Well, there is only one piece of advice I can give you,' said the wisest of
wise men","{'neg': 0.0, 'neu': 0.767, 'pos': 0.233, 'compound': 0.9493}",0.233,0.0,0.767,0.9493
"'The secret of happiness is to see all the marvels of the world,
and never to for get the drops of oil on the spoon.' ""
The shepherd said nothing","{'neg': 0.0, 'neu': 0.804, 'pos': 0.196, 'compound': 0.765}",0.196,0.0,0.804,0.765
"He had understood the story the old king had
told him","{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,0.0,1.0,0.0
"A shepherd may like to travel, but he should never for get about
his sheep.
The old man looked at the boy and, with his hands held together , made
several strange gestures over the boy's head","{'neg': 0.06, 'neu': 0.893, 'pos': 0.047, 'compound': -0.1154}",0.047,0.06,0.893,-0.1154
"Then, taking his sheep, he
walked away .
*
At the highest point in T arifa there is an old fort, built by the Moors","{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,0.0,1.0,0.0
"From
atop its walls, one can catch a glimpse of Africa","{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,0.0,1.0,0.0
"Melchizedek, the king of
Salem, sat on the wall of the fort that afternoon, and felt the levanter
blowing in his face","{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,0.0,1.0,0.0
"The sheep fidgeted nearby , uneasy with their new
owner and excited by so much change","{'neg': 0.144, 'neu': 0.722, 'pos': 0.133, 'compound': -0.0516}",0.133,0.144,0.722,-0.0516
"All they wanted was food and water .
Melchizedek watched a small ship that was plowing its way out of the port.
He would never again see the boy , just as he had never seen Abraham
again after having char ged him his one-tenth fee","{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,0.0,1.0,0.0
That was his work.,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,0.0,1.0,0.0
"The gods should not have desires, because they don't have destinies","{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,0.0,1.0,0.0
"But the
king of Salem hoped desperately that the boy would be successful.
It's too bad that he's quickly going to for get my name, he thought","{'neg': 0.205, 'neu': 0.579, 'pos': 0.216, 'compound': 0.1154}",0.216,0.205,0.579,0.1154
"I should
have repeated it for him","{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,0.0,1.0,0.0
"Then when he spoke about me he would say that I
am Melchizedek, the king of Salem.
He looked to the skies, feeling a bit abashed, and said, ""I know it's the
vanity of vanities, as you said, my Lord","{'neg': 0.048, 'neu': 0.914, 'pos': 0.038, 'compound': -0.1027}",0.038,0.048,0.914,-0.1027
"But an old king sometimes has to
take some pride in himself.""
*
How strange Africa is, thought the boy .
He was sitting in a bar very much like the other bars he had seen along the
narrow streets of T angier ","{'neg': 0.049, 'neu': 0.801, 'pos': 0.15, 'compound': 0.6775}",0.15,0.049,0.801,0.6775
"Some men were smoking from a gigantic pipe
that they passed from one to the other ","{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,0.0,1.0,0.0
"In just a few hours he had seen men
walking hand in hand, women with their faces covered, and priests that
climbed to the tops of towers and chanted—as everyone about him went to
their knees and placed their foreheads on the ground.
""A practice of infidels,"" he said to himself","{'neg': 0.0, 'neu': 0.829, 'pos': 0.171, 'compound': 0.8658}",0.171,0.0,0.829,0.8658
"As a child in church, he had
always looked at the image of Saint Santiago Matamoros on his white
horse, his sword unsheathed, and figures such as these kneeling at his feet.
The boy felt ill and terribly alone","{'neg': 0.194, 'neu': 0.806, 'pos': 0.0, 'compound': -0.8126}",0.0,0.194,0.806,-0.8126
"The infidels had an evil look about them.
Besides this, in the rush of his travels he had for gotten a detail, just one
detail, which could keep him from his treasure for a long time: only Arabic
was spoken in this country .
The owner of the bar approached him, and the boy pointed to a drink that
had been served at the next table","{'neg': 0.066, 'neu': 0.901, 'pos': 0.033, 'compound': -0.4939}",0.033,0.066,0.901,-0.4939
It turned out to be a bitter tea,"{'neg': 0.318, 'neu': 0.682, 'pos': 0.0, 'compound': -0.4215}",0.0,0.318,0.682,-0.4215
"The boy
preferred wine.
But he didn't need to worry about that right now ","{'neg': 0.0, 'neu': 0.807, 'pos': 0.193, 'compound': 0.4782}",0.193,0.0,0.807,0.4782
"What he had to be
concerned about was his treasure, and how he was going to go about getting
it","{'neg': 0.0, 'neu': 0.896, 'pos': 0.104, 'compound': 0.296}",0.104,0.0,0.896,0.296
"The sale of his sheep had left him with enough money in his pouch, and","{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,0.0,1.0,0.0
"the boy knew that in money there was magic; whoever has money is never
really alone","{'neg': 0.0, 'neu': 0.885, 'pos': 0.115, 'compound': 0.2398}",0.115,0.0,0.885,0.2398
"Before long, maybe in just a few days, he would be at the
Pyramids","{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,0.0,1.0,0.0
"An old man, with a breastplate of gold, wouldn't have lied just to
acquire six sheep.
The old man had spoken about signs and omens, and, as the boy was
crossing the strait, he had thought about omens","{'neg': 0.0, 'neu': 0.943, 'pos': 0.057, 'compound': 0.2924}",0.057,0.0,0.943,0.2924
"Y es, the old man had
known what he was talking about: during the time the boy had spent in the
fields of Andalusia, he had become used to learning which path he should
take by observing the ground and the sky ","{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,0.0,1.0,0.0
"He had discovered that the
presence of a certain bird meant that a snake was nearby , and that a certain
shrub was a sign that there was water in the area","{'neg': 0.0, 'neu': 0.856, 'pos': 0.144, 'compound': 0.4939}",0.144,0.0,0.856,0.4939
"The sheep had taught him
that.
If God leads the sheep so well, he will also lead a man, he thought, and that
made him feel better ","{'neg': 0.0, 'neu': 0.748, 'pos': 0.252, 'compound': 0.7745}",0.252,0.0,0.748,0.7745
"The tea seemed less bitter .
""Who are you?"" he heard a voice ask him in Spanish.
The boy was relieved","{'neg': 0.113, 'neu': 0.769, 'pos': 0.118, 'compound': 0.024}",0.118,0.113,0.769,0.024
"He was thinking about omens, and someone had
appeared.
""How come you speak Spanish?"" he asked","{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,0.0,1.0,0.0
"The new arrival was a young
man in W estern dress, but the color of his skin suggested he was from this
city","{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,0.0,1.0,0.0
"He was about the same age and height as the boy .
""Almost everyone here speaks Spanish","{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,0.0,1.0,0.0
"W e're only two hours from Spain.""
""Sit down, and let me treat you to something,"" said the boy ","{'neg': 0.0, 'neu': 0.863, 'pos': 0.137, 'compound': 0.4019}",0.137,0.0,0.863,0.4019
"""And ask for a
glass of wine for me","{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,0.0,1.0,0.0
"I hate this tea.""
""There is no wine in this country ,"" the young man said","{'neg': 0.312, 'neu': 0.688, 'pos': 0.0, 'compound': -0.7096}",0.0,0.312,0.688,-0.7096
"""The religion here
forbids it.""
The boy told him then that he needed to get to the Pyramids","{'neg': 0.119, 'neu': 0.881, 'pos': 0.0, 'compound': -0.3182}",0.0,0.119,0.881,-0.3182
"He almost
began to tell about his treasure, but decided not to do so","{'neg': 0.0, 'neu': 0.89, 'pos': 0.11, 'compound': 0.1531}",0.11,0.0,0.89,0.1531
"If he did, it was
possible that the Arab would want a part of it as payment for taking him","{'neg': 0.0, 'neu': 0.933, 'pos': 0.067, 'compound': 0.0772}",0.067,0.0,0.933,0.0772
there,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,0.0,1.0,0.0
"He remembered what the old man had said about of fering something
you didn't even have yet.
""I'd like you to take me there if you can","{'neg': 0.0, 'neu': 0.912, 'pos': 0.088, 'compound': 0.3612}",0.088,0.0,0.912,0.3612
"I can pay you to serve as my
guide.""
""Do you have any idea how to get there?"" the newcomer asked.
The boy noticed that the owner of the bar stood nearby , listening attentively
to their conversation","{'neg': 0.038, 'neu': 0.962, 'pos': 0.0, 'compound': -0.1027}",0.0,0.038,0.962,-0.1027
He felt uneasy at the man's presence,"{'neg': 0.302, 'neu': 0.698, 'pos': 0.0, 'compound': -0.3818}",0.0,0.302,0.698,-0.3818
"But he had
found a guide, and didn't want to miss out on an opportunity .
""You have to cross the entire Sahara desert,"" said the young man","{'neg': 0.045, 'neu': 0.774, 'pos': 0.181, 'compound': 0.6166}",0.181,0.045,0.774,0.6166
"""And to
do that, you need money ","{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,0.0,1.0,0.0
"I need to know whether you have enough.""
The boy thought it a strange question","{'neg': 0.13, 'neu': 0.87, 'pos': 0.0, 'compound': -0.2023}",0.0,0.13,0.87,-0.2023
"But he trusted in the old man, who
had said that, when you really want something, the universe always
conspires in your favor .
He took his money from his pouch and showed it to the young man","{'neg': 0.0, 'neu': 0.78, 'pos': 0.22, 'compound': 0.8621}",0.22,0.0,0.78,0.8621
"The
owner of the bar came over and looked, as well","{'neg': 0.0, 'neu': 0.826, 'pos': 0.174, 'compound': 0.2732}",0.174,0.0,0.826,0.2732
"The two men exchanged
some words in Arabic, and the bar owner seemed irritated.
""Let's get out of here"" said the new arrival","{'neg': 0.12, 'neu': 0.88, 'pos': 0.0, 'compound': -0.4588}",0.0,0.12,0.88,-0.4588
"""He wants us to leave.""
The boy was relieved","{'neg': 0.0, 'neu': 0.755, 'pos': 0.245, 'compound': 0.3818}",0.245,0.0,0.755,0.3818
"He got up to pay the bill, but the owner grabbed him
and began to speak to him in an angry stream of words","{'neg': 0.204, 'neu': 0.796, 'pos': 0.0, 'compound': -0.6858}",0.0,0.204,0.796,-0.6858
"The boy was strong,
and wanted to retaliate, but he was in a foreign country ","{'neg': 0.0, 'neu': 0.858, 'pos': 0.142, 'compound': 0.2846}",0.142,0.0,0.858,0.2846
"His new friend
pushed the owner aside, and pulled the boy outside with him","{'neg': 0.0, 'neu': 0.802, 'pos': 0.198, 'compound': 0.4939}",0.198,0.0,0.802,0.4939
"""He wanted
your money ,"" he said","{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,0.0,1.0,0.0
"""T angier is not like the rest of Africa","{'neg': 0.209, 'neu': 0.791, 'pos': 0.0, 'compound': -0.2755}",0.0,0.209,0.791,-0.2755
"This is a port,
and every port has its thieves.""
The boy trusted his new friend","{'neg': 0.0, 'neu': 0.674, 'pos': 0.326, 'compound': 0.743}",0.326,0.0,0.674,0.743
"He had helped him out in a dangerous
situation","{'neg': 0.307, 'neu': 0.693, 'pos': 0.0, 'compound': -0.4767}",0.0,0.307,0.693,-0.4767
"He took out his money and counted it.
""We could get to the Pyramids by tomorrow ,"" said the other , taking the
money ","{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,0.0,1.0,0.0
"""But I have to buy two camels.""","{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,0.0,1.0,0.0
They walked together through the narrow streets of T angier ,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,0.0,1.0,0.0
"Everywhere
there were stalls with items for sale","{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,0.0,1.0,0.0
"They reached the center of a lar ge
plaza where the market was held","{'neg': 0.0, 'neu': 0.896, 'pos': 0.104, 'compound': 0.1027}",0.104,0.0,0.896,0.1027
"There were thousands of people there,
arguing, selling, and buying; vegetables for sale amongst daggers, and
carpets displayed alongside tobacco","{'neg': 0.136, 'neu': 0.864, 'pos': 0.0, 'compound': -0.4588}",0.0,0.136,0.864,-0.4588
